Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
HSBC GIF Asian Currencies Bond AC,USD,"The sub-fund aims to provide long term total return by investing in a portfolio of Asian bonds. The sub-fund invests in normal market conditions a minimum of 70% of its net assets in Investment Grade and Non-Investment Grade rated and unrated fixed income and other similar securities which are enominated in Asian currencies and either issued or guaranteed by governments, government agencies and supranational bodies in Asia or by companies which are domiciled in, based in, or carry out the larger part of their business in, Asia. Investment in onshore Chinese fixed income securities include, but are not limited to, onshore fixed income securities denominated in RMB, issued within the People’s Republic of China (“PRC”) and traded on the China Interbank Bond Market (“CIBM”). The sub-fund may invest in the CIBM either through Bond Connect and/or the CIBM Initiative.",2 stars,3 / 7,6,10,"1,60%",Korko,Muut,
CT (Lux) Rspnb Global Equity A Inc USD,USD,"The Portfolio focuses on long-term capital growth through investment in companies across the world. Its objective is to maximise returns through investment in an ethically screened and diverse universe of companies. The Portfolio will invest at least two thirds of its total assets in equity and equity-related securities (excluding convertible bonds and bonds with warrants) of companies, in any market, that meet the ethical and sustainable criteria. The Portfolio will invest more than 50% in equity securities in the sense of sec. 2 para. 8 of the GITA.",2 stars,5 / 7,8,926,"1,78%",Maantiede,Maailma,Maailma kasvuyhtiöt
BNP Paribas Climate Change Cl C,EUR,"Increase the value of its assets over the medium term by investing primarily in companies involved in activities focused on delivering solutions for climate change and helping to accelerate the transition a more sustainable world. This thematic sub-fund aims to invest in companies that are delivering solutions to address climate change. At all times, this sub-fund invests at least 75% of its assets in equities and/or equity equivalent securities, issued by companies with business in activities focused on delivering solutions to address climate change.",3 stars,4 / 7,9,660,"2,66%",Sektori,Ympäristö,
Storebrand Smart Cities A3,EUR,"Storebrand Smart Cities är en fossilfri aktiefond som investerar i internationella företag som enligt vår bedömning bidrar till att uppnå FNs hållbarhetsmål genom att lösa sociala och miljömässiga utmaningar relaterade till urbanisering. Fonden ger exponering mot företag som bidrar till god stadsplanering, sömlösa transportsystem, vattenförvaltning, energieffektiv infrastruktur och gröna byggnader som kan underlätta en hög livskvalitet med låga utsläpp. Fokus på funktionalitet och elektrifiering av transportsystem kommer att ge invånarna bättre reseupplevelser och hög luftkvalitet. Portföljen investeras i stort inom olika branscher och inom hela värdekedjan av lösningar kopplade till hållbara städer. Denna typ av foretag kännetecknas av höga förväntningar på framtida resultat, vilket medför hög risk för kursförändringar. Fonden har därför en större risk än breda globala aktiefonder.",4 stars,4 / 7,9,186,"1,05%",Sektori,Ympäristö,
Allspring (Lux) WW US ST HY Bd A USD A,USD,"The Sub-fund seeks total return, consisting of a high level of current income and capital appreciation. Under normal circumstances, the Sub-Fund invests: • At least two-thirds of its net assets in corporate debt securities that are below investment-grade or, if unrated, determined to be of comparable quality by the Sub-Investment Manager; • At least 75% of its net assets in debt securities of US issuers. Debt securities of US issuers are securities: (1) issued by companies with their principal office in the United States or exercising a predominant part of their economic activities in the United States; or (2) issued by United States governmental issuers.",2 stars,2 / 7,6,60,"1,20%",Korko,High Yield,
SCSL Glbl Engy Infras A SEK Acc,SEK,The Fund aims to provide a return in excess of 10% per annum (before fund fees have been deducted*) over five to seven years and to support the transition to net zero (through the generation and efficient use of green and lowcarbon energy and the avoidance of CO2e) by investing in a global portfolio of renewable and other energy transitionaligned infrastructure assets which are deemed to be sustainable investments.,0 stars,4 / 7,9,0,"2,04%",Kiinteistö,,
Allianz Global Small Cap Equity AT USD,USD,Long-term capital growth by investing in global equity markets with a focus on small-sized companies.,3 stars,4 / 7,6,39,"2,11%",Maantiede,Maailma,Maailma small/mid
Fidelity Global Future Leaders A USD Acc,USD,"The fund aims to achieve capital growth over time. The fund invests at least 70% of its assets, in equities of small and medium sized companies from anywhere in the world. In actively managing the fund, the Investment Manager considers growth and valuation metrics, company financials, return on capital, cash flows and other measures, as well as company management, industry economic conditions, and other factors.",0 stars,4 / 7,8,9,"1,95%",Maantiede,Maailma,Maailma small/mid
Franklin MENA A(acc)USD,USD,"vaihtokelpoisiin arvopapereihin (esim. osakkeet ja kiinteätuottoiset arvopaperit), joiden (i) kotipaikka on Lähi-idän tai Pohjois-Afrikan maissa (jäljempänä ""MENA-maat"") kuten, muita kuitenkaan pois sulkematta, Saudi Arabian kuningaskunta, Yhdistyneet Arabiemiraatit, Kuwait, Qatar, Bahrain, Oman, Egypti, Jordania ja Marokko, ja/tai jotka (ii) harjoittavat liiketoimintaa pääasiassa MENA-maissa. Rahasto sijoittaa markkina-arvoltaan vaihteleviin yrityksiin sekä johdannaisinstrumentteihin.",3 stars,3 / 7,6,179,"2,72%",Maantiede,Kehittyvät maat,Afrikka & Lähi-itä
Templeton Asian Smlr Coms A(acc)USD,USD,"The Fund’s principal investment objective is to provide long-term capital appreciation. The Fund invests primarily in transferable equity securities as well as depository receipts of small cap companies (i) which are incorporated in the Asia region, or (ii) which have their principal business activities in the Asia region.",3 stars,4 / 7,8,113,"2,15%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani small/mid
Allianz Asian Small Cap Equity AT15 USD,USD,"Rahaston tavoitteena on saavuttaa pääoman kasvua pitkällä aikavälillä sijoittamalla rahaston varoja aasialaisille osakemarkkinoille painottuen pienyrityksiin. Rahaston varoista vähintään 70 % sijoitetaan suoraan sellaisten pienten yritysten osakkeisiin ja vastaaviin arvopapereihin, joiden rekisteröity toimipaikka sijaitsee maassa, jossa MSCI AC Asia ex-Japan Small Cap (net) Index -indeksiin sisältyvällä yrityksellä on rekisteröity toimipaikka, tai joiden myynnistä ja/tai tuotoista suurin osa muodostuu tällaisessa maassa.",3 stars,4 / 7,6,482,"1,65%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani small/mid
BNP Paribas Health Cr Innovtr Cl Cap,EUR,The investment objective of the fund is to increase the value of its assets over the medium term by investing in healthcare innovative companies.,4 stars,4 / 7,8,561,"1,96%",Sektori,Terveydenhuolto,
BNP Paribas Sust Glb Corp Bond Classic R,USD,"Increase the value of its assets over the medium term by investing primarily in corporate bonds issued by socially responsible companies. The sub-fund follows a ""Best-in-Class"" approach which selects issuers that demonstrate superior social and environmental responsibility, while implementing robust corporate governance practices within their sector of activity. In addition, the sub-fund will select issuers (1) whose products and services contribute to resolving problems linked to environment and sustainable development, and (2) whose products and services will have positive and sustainable impacts on the environment and social climate. The sub-fund invests at least 2/3 of its assets in Investment Grade Bonds and/or securities treated as equivalent issued by companies in any country.",2 stars,2 / 7,8,18,"1,12%",Korko,Yrityslainat,
Mirae Asset ESG Asia Grt Cnsmr Eq A USD,USD,"The primary objective of the Fund is to achieve long term growth in the Share price through capital appreciation, measured in US Dollars, of the underlying equity portfolio which promotes environmental, social and governance (ESG) criteria. The Principal Investment Manager will seek to achieve the objective of the Sub-Fund by investing mainly in equities and equity related securities of Asian companies which are expected to benefit from growing consumption activities of Asian region, excluding Japan.",1 star,5 / 7,8,7,"1,84%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
Fidelity Sustainbale US Eq A USD,USD,"The fund aims to achieve capital growth over the long term by investing in sustainable investments. The fund aims to invest in sustainable investments that contribute to environmental or social objectives which are aligned with one or more United Nations Sustainable Development Goals (“SDGs”). The fund may (on an ancillary basis and up to 20% of its assets) hold cash, money market instruments, or other investments used for hedging and efficient portfolio management purposes.",1 star,4 / 7,9,84,"1,94%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
Fidelity Sustainable US Eq A Acc USD,USD,"The fund aims to achieve capital growth over the long term by investing in sustainable investments. The fund aims to invest in sustainable investments that contribute to environmental or social objectives which are aligned with one or more United Nations Sustainable Development Goals (“SDGs”). The fund may (on an ancillary basis and up to 20% of its assets) hold cash, money market instruments, or other investments used for hedging and efficient portfolio management purposes.",2 stars,4 / 7,9,10,"1,94%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
Templeton Global Smaller Coms A(acc)USD,USD,"Rahasto sijoittaa ensisijaisesti maailman eri maissa sijaitsevien pienehköjen yritysten (yhtiöiden, joiden markkina-arvo on ostamishetkellä enintään 2 miljardia Yhdysvaltain dollaria tai sitä vastaava) osakesidonnaisiin arvopapereihin ja velkasitoumuksiin.",2 stars,4 / 7,6,25,"1,87%",Maantiede,Maailma,Maailma small/mid
abrdn-Global Innovation Eqty A Acc USD,USD,"The Fund’s investment objective is long term total return to be achieved by investing at least 70% of the Fund’s assets in equities and equity-related securities of companies of all sizes whose business models are focused on and/or benefit from all forms of innovation, listed on global stock exchanges including Emerging Markets.",1 star,5 / 7,8,329,"1,92%",Maantiede,Maailma,Maailma kasvuyhtiöt
Fidelity Australian Divers Eq A-AUD,AUD,"Fidelity Australia Fund on osakerahasto, joka sijoittaa pääasiallisesti australialaisten yritysten osakkeisiin. Markkinatilanteesta riippuen rahasto voi sijoittaa myös Uuden-Seelannin yritysten osakkeisiin.",2 stars,4 / 7,6,419,"1,92%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Australia & Uusi-Seelanti
Franklin US Opportunities A(acc)USD,USD,"Rahasto sijoittaa ensisijaisesti sellaisten yhdysvaltalaisten useilla eri sektoreilla toimivien liikkeeseenlaskijoiden osakesidonnaisiin arvopapereihin, joilla on vahvat kasvumahdollisuudet.",2 stars,5 / 7,8,963,"1,79%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat kasvuyhtiöt
BL-European Small & Mid Caps B,EUR,The sub-fund seeks to achieve capital gains over the long term. The sub-fund is actively managed without reference to an index. The sub-fund invests a minimum of 80% of its net assets in the equities of small- and mid-cap European companies. The remaining balance may be invested in the equities of companies with a greater larger market capitalisation.,2 stars,4 / 7,8,52,"1,50%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Eurooppa pienyhtiöt
BGF US Mid-Cap Value A2,USD,"Rahasto sijoittaa pääsääntöisesti amerikkalaisiin pienyrityksiin, mutta se voi myös sijoittaa Kanadaan ja Meksikoon.",4 stars,4 / 7,6,35,"1,82%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat midcap
Robeco Sustainable Water D EUR Cap,EUR,"The Sub-fund has as its sustainable investment objective to mitigate the water scarcity challenge and contribute to clean, safe and sustainable water supply by investing in companies active in the fields of distribution, treatment and quality monitoring of water that enable efficiency gains for more economical water use, more and better wastewater treatment and improved water infrastructure and quality. The foregoing is implemented by mainly investing in companies that advance the following United Nations Sustainable Development Goals (UN SDGs): Good health and well-being (SDG 3), Clean water and sanitation (SDG 6), Industry, innovation and infrastructure (SDG 9), Sustainable cities and communities (SDG 11), Responsible consumption and production (SDG 12), and as well as Life below water (SDG 14). In addition to pursuing the sustainable investment objective, the Sub-fund at the same time aims to provide long term capital growth.",3 stars,4 / 7,9,368,"1,71%",Sektori,Vesi,
ODIN USA C EUR,EUR,"Rahaston tavoitteena on saavuttaa sijoituksille mahdollisimman hyvä tuotto suhteessa rahaston vertailuindeksiin. Rahasto sopii osuudenomistajille, jotka haluavat sijoittaa pitkällä aikavälillä Yhdysvaltojen osakemarkkinoille.",2 stars,4 / 7,8,40,"1,50%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat kasvuyhtiöt
SEB Finland Small Cap C (EUR),EUR,"Tämä aktiivisesti hallinnoitu rahasto pyrkii kasvattamaan rahastosijoituksen arvoa ajan myötä ja ylittämään vertailuindeksin tuoton. Tarkemmin sanottuna rahasto sijoittaa vähintään 85 % kokonaisvaroistaan suomalaisten, Suomen säännellyillä markkinoilla vaihdettujen small-cap- ja mid-cap-yritysten osakkeisiin ja osakesidonnaisiin arvopapereihin. Rahasto voi sijoittaa korkeintaan 10 % kokonaisnettovaroistaan muihin Pohjoismaihin.",2 stars,4 / 7,8,187,"1,80%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Suomi
DWS Invest II ESG US Top Div LC,EUR,"The objective of the investment policy of the fund is to achieve an above average return. The sub-fund is actively managed and is not managed in reference to a benchmark. At least 70% of the sub-fund’s assets are invested in equities, stock certificates, participation and dividend-right certificates, convertible bonds, American Depository Receipts (ADRs) and Global Depository Receipts (GDRs), listed on recognized exchanges and markets and issued by international financial institutions, and equity warrants of United States issuers.",3 stars,4 / 7,8,82,"1,59%",Tyyli,osinko-osakkeet,
D&G Global All Cap,SEK,"D&G Global All Cap is an actively managed global equity fund that invests in approximately 30 companies of all sizes. The fund focuses on market leaders with unique characteristics, strong brands, and solid growth potential.",3 stars,4 / 7,8,2021,"1,60%",Maantiede,Maailma,Maailma joustava
Nordea 1 - Global impact BP EUR,EUR,"In actively managing the fund's portfolio, the management team focuses on companies that develop climate and environment-friendly solutions, such as renewable energy and resource efficiency, or social solutions through their products or services, and that appear to offer superior growth prospects and investment characteristics.",3 stars,4 / 7,9,32,"2,06%",Sektori,Ympäristö,
BNP Paribas US Small Cap ClassicC,USD,"The investment objective of the fund is to increase the value of its assets over the medium term by investing primarily in US small cap equities. At all times, this sub-fund invests at least 75% of its assets in equities and/or equity equivalent securities issued by companies having market capitalisation lower than the largest market capitalisation (observed at the beginning of each financial year) of the Russell 2000 index* and that have their registered offices or conduct the majority of their business activities in the United States of America.",3 stars,5 / 7,8,96,"2,21%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat pienyhtiöt
SEB Läkemedelsfond,SEK,-,4 stars,4 / 7,8,1249,"1,50%",Sektori,Terveydenhuolto,
Nordnet Danmark Indeks A,DKK,"Rahasto on Tanskan markkinoille sijoittava osakeindeksirahasto, ja rahaston tavoitteena on jäljitellä OMX Copenhagen 25 ESG Responsible Gross -indeksiä, joka sisältää vain tietyt kestävän kehityksen kriteerit täyttävät yritykset.",2 stars,4 / 7,8,87637,"0,20%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Tanska
BGF World Energy A2,USD,"MST World Energy-rahasto pyrkii US-dollarimääräiseen arvonnousuun sijoittamalla maailmanlaajuisesti listattuihin yrityksiin, joiden liikevaihdosta merkittävä osuus koostuu energian tutkimuksesta, kehittämisestä, tuotannosta tai jakelusta. Rahasto sijoittaa myös yrityksiin, jotka pyrkivät kehittämään uusia teknologioita energian tuottamisessa tai etsimään vaihtoehtoisia energiamuotoja.",3 stars,5 / 7,6,5602,"2,06%",Sektori,Energia,
Nordea 1 - Global Real Estate BP EUR,EUR,"Nordea 1, SICAV – Global Real Estate BP-EUR sijoittaa maailmanlaajuisesti kiinteistösektorilla toimivien yhtiöiden osakkeisiin sekä kiinteistösektoriin0 sijoittaviin sijoitusyhtiöihin ja -rahastoihin. Sijoitusten pääpaino on kehittyneillä markkinoilla: Pohjois-Amerikassa, Euroopassa ja Aasiassa. Rahasto voi lisäksi sijoittaa kehittyvissä maissa sijaitseviin yhtiöihin ja sijoitusrahastoihin. Rahaston sijoituskohteena olevat yhtiöt hallinnoivat ja rakennuttavat pääasiassa kaupallisia ja liikekiinteistöjä kuten toimisto- ja varastorakennuksia, hotelleja ja kauppakeskuksia. Yhtiöt voivat myös rakennuttaa asuinkiinteistöjä. Kiinteistösektorilla toimivien yhtiöiden osakkeet ovat pörssinoteerattuja, ja niillä käydään kauppaa päivittäin. Lyhyellä aikavälillä kiinteistösektorin yhtiöiden osakkeilla on taipumus seurata yleistä osakemarkkinakehitystä melko tarkasti.",4 stars,4 / 7,8,57,"1,86%",Kiinteistö,,
ODIN Global C EUR,EUR,"ODIN Global sijoittaa varansa vapaasti, toimialoista riippumatta, yrityksiin kaikkialla maailmassa. Rahaston tavoitteena on pitkällä aikavälillä ylittää MSCI World Net Indexin tuotto.",3 stars,4 / 7,8,408,"1,50%",Maantiede,Maailma,Maailma joustava
abrdn-Nrth American Sml Comp A Acc USD,USD,"The Fund’s investment objective is long term total return to be achieved by investing at least 70% of the Fund’s assets in small capitalisation equities and equity-related securities of companies listed, incorporated or domiciled in the United States of America (USA) or Canada or companies that derive a significant proportion of their revenues or profits from US or Canadian operations or have a significant proportion of their assets there. The Fund is actively managed. The Fund aims to outperform the Russell 2000 Index (USD) benchmark before charges. The benchmark is also used as a reference point for portfolio construction and as a basis for setting risk constraints, but does not incorporate any sustainable criteria.",2 stars,5 / 7,8,128,"1,67%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat pienyhtiöt
UBS (Lux) EF Mid Caps USA (USD) P,USD,Sijoitukset kohdistuvat pieniin ja keskisuuriin yhdysvaltalaisiin yrityksiin,4 stars,5 / 7,8,513,"1,90%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat midcap
abrdn- Global Impact Equity A Acc EUR,EUR,The Sub-fund aims to provide long term growth by investing in companies listed globally that intentionally aim to create positive measurable environmental and/or social impacts. The Sub-fund aims to outperform MSCI AC World Index (USD) benchmark before charges.,1 star,4 / 7,9,2,"1,58%",Maantiede,Maailma,Maailma kasvuyhtiöt
BGF European Special Situations A2,EUR,"The Fund seeks to maximise capital growth expressed in euros by investing the majority of its total net assets in the quoted equities of companies in developed Europe (including the UK) and to a lesser extent in emerging European stockmarkets. It will place particular emphasis on companies that exhibit growth investment characteristics, such as higher or improving returns, rising earnings and good cash flow generation.",2 stars,4 / 7,8,89,"1,82%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret kasvuosakkeet
HSBC GIF Indian Equity AC,USD,"Indian Equity sijoittaa osakkeisiin Intian pörssissä tai yrityksiin, joilla on merkittävää toimintaa Intiassa.",3 stars,4 / 7,8,503,"1,90%",Maantiede,Kehittyvät maat,Intia
HSBC GIF Indian Equity AD,USD,"Indian Equity sijoittaa osakkeisiin Intian pörssissä tai yrityksiin, joilla on merkittävää toimintaa Intiassa.",3 stars,4 / 7,8,15,"1,90%",Maantiede,Kehittyvät maat,Intia
BGF European Special Situations A2,USD,"The Fund seeks to maximise capital growth expressed in euros by investing the majority of its total net assets in the quoted equities of companies in developed Europe (including the UK) and to a lesser extent in emerging European stockmarkets. It will place particular emphasis on companies that exhibit growth investment characteristics, such as higher or improving returns, rising earnings and good cash flow generation.",2 stars,4 / 7,8,1508,"1,82%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret kasvuosakkeet
Fidelity American Growth A-Acc-USD,USD,"Fidelity American Growth Fund on osakerahasto, joka sijoittaa pääasiallisesti yhdysvaltalaisiin pienten ja keskisuurten yritysten osakkeisiin.",4 stars,4 / 7,8,139,"1,91%",Maantiede,Maailma,Yhdysvallat joustava
BNP Paribas Sst Glb Lw Vol Eq Cl Cap,EUR,"The sub-fund seeks to increase the value of its assets over the medium term by investing in worldwide equities, issued primarily by socially responsible companies, selected through a process aimed at reducing risk by selecting low volatility securities.",2 stars,3 / 7,8,53,"1,97%",Maantiede,Maailma,Maailma suuryhtiöt sekatyyli
SEB Listed Private Equity Fund C (EUR),EUR,"This Sub-Fund will mainly invest in companies which are active in private equity business. The portfolio will mainly include equities and equity related transferable securities issued by companies with a private equity angle, without being restricted to a specific geography or a certain industrial focus. Companies with a private equity angle may include but are not limited to, publicly traded private equity portfolios, publicly traded holding companies with a private equity portfolio, publicly traded private equity managers, business development companies, publicly traded companies with an active and engaged owner driving value creation or any other publicly traded vehicle whose purpose is to invest in privately held companies.",2 stars,4 / 7,8,125,"1,56%",Sektori,Pääomasijoitus,
Fidelity India Focus A-USD,USD,"The fund aims to achieve capital growth over the long term. The fund invests at least 70% (and normally 75%) of its assets, in equities of Indian companies listed in India, or non-Indian companies which do most of their business in India. The fund may also invest in money market instruments on an ancillary basis.",4 stars,4 / 7,8,688,"1,92%",Maantiede,Kehittyvät maat,Intia
JPM US Value A (dist) USD,USD,Rahasto pyrkii pitkällä aikavälillä arvonnousuun sijoittamalla ns. ´arvo-osakkeisiin´ USA:n markkinoilla.,3 stars,4 / 7,8,341,"1,71%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat arvoyhtiöt
DWS Invest Global RE Secs USD LC,USD,"This sub-fund promotes environmental and social characteristics and reports as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR. The objective of the investment policy of the fund is to generate an above average return for the sub-fund. The sub-fund is actively managed and is not managed in reference to a benchmark. The sub-fund invests primarily in the equities of listed companies that own, develop or manage real estate, provided that these equities are considered to be transferable securities as defined by Article 41 (1) of the Law of 2010, on Undertakings for Collective Investment.",3 stars,4 / 7,8,188,"1,59%",Kiinteistö,,
Fidelity Fds-European Dynamic Gr A Udb,EUR,"Fidelity Euro Balanced Fund on yhdistelmärahasto, joka sijoittaa pääasiallisesti EMU maiden liikkeelle laskemiin joukkovelkakirjoihin ja niissä noteerattaviin osakkeisiin.",3 stars,4 / 7,8,698,"1,90%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret kasvuosakkeet
Franklin Sustainable Global Gr A(acc)USD,USD,"The Fund’s investment objective is capital appreciation. The Fund seeks to achieve its objective by investing in equity and equity-related transferable securities (including equity-linked notes, such as participatory notes) across the world.",1 star,5 / 7,8,58,"1,88%",Maantiede,Maailma,Maailma kasvuyhtiöt
SEB Nordamerikafond Småbolag,SEK,"The Fund invests in shares in the United States, mainly in small and medium-sized companies with significant growth potential. The Fund's benchmark is the Russell 2000 Growth.",3 stars,5 / 7,8,654,"1,75%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat pienyhtiöt
BNP Paribas India Eq Cl Cap,USD,"Increase the value of its assets over the medium term by investing primarily in Indian equities. At all times, this sub-fund invests at least 75% of its assets in equities and/or equity equivalent securities issued by companies that have their registered offices or conduct the majority of their business activities in India.",3 stars,4 / 7,8,185,"2,21%",Maantiede,Kehittyvät maat,Intia
Allianz Europe Equity Growth AT EUR,EUR,Long-term capital growth by investing in European Equity Markets with a focus on growth stocks in accordance with e/s characteristics.,1 star,5 / 7,8,513,"1,85%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret kasvuosakkeet
Fidelity Funds America A-Dis,USD,"Fidelity America Fund on osakerahasto, joka sijoittaa pääasiallisesti USA:ssa noteerattuihin markkina-arvoltaan suuriin yrityksiin.",2 stars,4 / 7,8,1892,"1,89%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat arvoyhtiöt
Carnegie Listed Private Equity A,SEK,"Carnegie Listed Private Equity is an actively managed global equity fund that invests in approximately 40 listed companies with a clear connection to private equity. These companies, in turn, invest in unlisted businesses across a wide range of industries and geographies.",4 stars,4 / 7,8,2699,"1,50%",Sektori,Pääomasijoitus,
BGF World Healthscience A2,USD,"MST World Healthscience-rahasto pyrkii US-dollarimääräiseen arvonnousuun sijoittamalla maailmanlaajuisesti listattuihin yrityksiin, joiden liikevaihdosta merkittävä osuus muodostuu terveyden alasta, lääketieteestä tai lääkejakelusta. Rahasto voi myös sijoittaa bioteknologiayrityksiin.",4 stars,4 / 7,8,3356,"1,80%",Sektori,Terveydenhuolto,
Allianz Europe Equity Gr Sel AT EUR,EUR,Long-term capital growth by investing in European Equity Markets with a focus on growth stocks of large market capitalization companies in accordance with e/s characteristics.,1 star,5 / 7,8,128,"1,85%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret kasvuosakkeet
Swedbank Robur Healthcare A,SEK,"Healthcare is an actively managed equity fund that mainly invests worldwide in large and medium-sized companies across a range of sectors in the healthcare industry, including pharmaceuticals, biotechnology, medical technology and healthcare services. The fund is managed with a long-term investment horizon and an active investment strategy focused on a selection of companies, where regional and thematic analyses are also key features of the strategy. The fund complies with Swedbank Robur’s Responsible Investment Policy. Read more about the policy in the fund’s Information Brochure and swedbankrobur.se. Sustainability and climate work is an integrated part in our investment strategy. The fund consists of share classes, for more information see the Information Brochure. The fund is suitable for those who believe in the healthcare industry.",3 stars,4 / 7,8,1839,"1,25%",Sektori,Terveydenhuolto,
Amundi MSCI USASRIClmtParisAligned-AE(C),EUR,"To track the performance of MSCI USA SRI Filtered PAB Index (""the Index""), and to minimize the tracking error between the net asset value of the sub-fund and the performance of the Index. The sub-fund is a financial product that promotes among other characteristics ESG characteristics pursuant to Article 8 of the Disclosure Regulation. The exposure to the Index will be achieved through a Direct Replication, mainly by making direct investments in transferable securities and/or other eligible assets representing the Index constituents in a proportion extremely close to their proportion in the Index.",1 star,4 / 7,8,1055,"0,35%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
Fidelity Funds Water & Waste A Acc USD,USD,"The fund aims to achieve capital growth over the long term. The fund invests at least 70% of its assets, in equities of companies from anywhere in the world, including emerging markets. The fund aims to make investments in companies that are involved in the design, manufacture, or sale of products and services used in connection with the water and waste management sector. The water management sector includes but is not limited to, those companies involved in water production, water conditioning, de-salination, supply, bottling, transport and dispatching of water. In actively managing the fund, the Investment Manager considers growth and valuation metrics, company financials, return on capital, cash flows and other measures, as well as company management, industry, economic conditions, and other factors.",2 stars,4 / 7,8,212,"1,91%",Sektori,Vesi,
Evli Maailma B,EUR,"Sijoitusrahasto Evli Global on osakerahasto, joka sijoittaa varansa osakkeisiin maailmanlaajuisesti. Rahaston sijoitusstrategia on aktiivinen eikä rahastolla ole indeksi-, toimiala- tai maantieteellisiä rajoitteita. Sijoituskohteina ovat pääasiallisesti kehittyneiden talouksien osakkeet Euroopassa, Pohjois-Amerikassa, Japanissa ja Australiassa. Rahasto painottaa yhtiöitä, joilla on vakaa kassavirta ja jotka ovat siihen suhteutettuna vähävelkaisia ja edullisesti hinnoiteltuja.",3 stars,4 / 7,8,3011,"1,61%",Maantiede,Maailma,Maailma joustava
ODIN Kiinteistö C EUR,EUR,"ODIN Kiinteistö sijoittaa yrityksiin, jotka ovat joko pörssinoteerattuja tai niiden pääkonttori tai alkuperä on Pohjoismaissa ja joiden pääasiallinen toimiala on kiinteistöjen omistus ja hallinnointi. Rahaston vertailuindeksi on VINX Real Estate Index.",0 stars,6 / 7,8,1083,"1,50%",Kiinteistö,,
Handelsbanken Hälsovård Tema (A1 EUR),EUR,"Sijoitusrahasto Handelsbanken Lääketeollisuus on aktiivisesti hoidettu osakerahasto, joka sijoittaa lääkeaineisiin, lääketekniikkaan, biotekniikkaan ja hoiva-alaan maailmanlaajuisesti. Tavoitteena on pitkällä tähtäimellä ylittää alan yritysten keskiarvotuotto. Lisäksi 10% rahaston varallisuudesta voidaan sijoittaa luottoinstituuttien tileille. Salkunhoitoa tehostaakseen rahasto voi käyttää johdannaisia, kuten esimerkiksi OTC-johdannaisia. Johdannaissijoitukset eivät vaikuta rahaston riskitasoon. Rahaston kotivaluutta ja virallinen noteerausvaluutta on SEK. Rahastoyhtiön Suomessa ilmoittama euromääräinen kurssi ei ole virallinen kaupankäyntikurssi.",5 stars,4 / 7,9,3895,"1,50%",Sektori,Terveydenhuolto,
PineBridge India Equity A,USD,The Sub-Fund seeks to provide long-term capital appreciation by investing in equity and equity-related securities of companies listed on stock exchanges in India or closely related to the economic development and growth of India.,3 stars,4 / 7,8,145,"2,05%",Maantiede,Kehittyvät maat,Intia
